Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA
10/29/19 4:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/29/19 5:00,Central Los Angeles,0.1,1-hr,pphm,9,N/A
10/29/19 6:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/29/19 7:00,Central Los Angeles,0.4,1-hr,pphm,9,N/A
10/29/19 8:00,Central Los Angeles,1.1,1-hr,pphm,9,N/A
10/29/19 9:00,Central Los Angeles,2.2,1-hr,pphm,9,N/A
10/29/19 10:00,Central Los Angeles,2.6,1-hr,pphm,9,N/A
10/29/19 11:00,Central Los Angeles,3.5,1-hr,pphm,9,N/A
10/29/19 12:00,Central Los Angeles,4.2,1-hr,pphm,9,N/A
10/29/19 13:00,Central Los Angeles,4,1-hr,pphm,9,N/A
10/29/19 14:00,Central Los Angeles,3.9,1-hr,pphm,9,N/A
10/29/19 15:00,Central Los Angeles,3.8,1-hr,pphm,9,N/A
10/29/19 16:00,Central Los Angeles,3.1,1-hr,pphm,9,N/A
10/29/19 17:00,Central Los Angeles,3,1-hr,pphm,9,N/A
10/29/19 18:00,Central Los Angeles,2.5,1-hr,pphm,9,N/A
10/29/19 19:00,Central Los Angeles,1.3,1-hr,pphm,9,N/A
10/29/19 20:00,Central Los Angeles,0.4,1-hr,pphm,9,N/A
10/29/19 21:00,Central Los Angeles,0.3,1-hr,pphm,9,N/A
10/29/19 22:00,Central Los Angeles,0.3,1-hr,pphm,9,N/A
10/29/19 23:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/30/19 0:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/30/19 1:00,Central Los Angeles,0.3,1-hr,pphm,9,N/A
10/30/19 2:00,Central Los Angeles,0.3,1-hr,pphm,9,N/A
10/30/19 3:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/30/19 4:00,Central Los Angeles,0.3,1-hr,pphm,9,N/A
10/30/19 5:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/30/19 6:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/30/19 7:00,Central Los Angeles,0.5,1-hr,pphm,9,N/A
10/30/19 8:00,Central Los Angeles,1.6,1-hr,pphm,9,N/A
10/30/19 9:00,Central Los Angeles,3,1-hr,pphm,9,N/A
10/30/19 10:00,Central Los Angeles,3.6,1-hr,pphm,9,N/A
10/30/19 11:00,Central Los Angeles,4,1-hr,pphm,9,N/A
10/30/19 12:00,Central Los Angeles,4.3,1-hr,pphm,9,N/A
10/30/19 13:00,Central Los Angeles,4.5,1-hr,pphm,9,N/A
10/30/19 14:00,Central Los Angeles,4.2,1-hr,pphm,9,N/A
10/30/19 15:00,Central Los Angeles,3.9,1-hr,pphm,9,N/A
10/30/19 16:00,Central Los Angeles,3.4,1-hr,pphm,9,N/A
10/30/19 17:00,Central Los Angeles,2.9,1-hr,pphm,9,N/A
10/30/19 18:00,Central Los Angeles,2.7,1-hr,pphm,9,N/A
10/30/19 19:00,Central Los Angeles,2.1,1-hr,pphm,9,N/A
10/30/19 20:00,Central Los Angeles,0.7,1-hr,pphm,9,N/A
10/30/19 21:00,Central Los Angeles,1.2,1-hr,pphm,9,N/A
10/30/19 22:00,Central Los Angeles,0.6,1-hr,pphm,9,N/A
10/30/19 23:00,Central Los Angeles,0.3,1-hr,pphm,9,N/A
10/31/19 0:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/31/19 1:00,Central Los Angeles,0.4,1-hr,pphm,9,N/A
10/31/19 2:00,Central Los Angeles,0.3,1-hr,pphm,9,N/A
10/31/19 3:00,Central Los Angeles,0.3,1-hr,pphm,9,N/A
10/31/19 4:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/31/19 5:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/31/19 6:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/31/19 7:00,Central Los Angeles,0.3,1-hr,pphm,9,N/A
